,player_1_name,player_1_species,player_1_build_order_names,player_1_winner_status,player_1_league,player_2_name,player_2_species,player_2_build_order_names,player_2_winner_status,player_2_league,map,played_on_date_and_time,game_length,tournament_name
4275,LiquidClem ,Terran,,0,,DPGZest ,Protoss,"1 Gate Expand, Blink Stalkers",1,,Map: Berlingrad LE,2021-10-23 12:42:00,0 days 00:07:28,Event: StayAtHome Story Cup #4
4276,Lambo ,Zerg,"Hatch First, Lurkers",0,,LiquidClem ,Terran,"Reaper Expand, Hellion Banshee",1,,Map: 2000 Atmospheres LE,2021-10-23 12:06:00,0 days 00:15:38,Event: StayAtHome Story Cup #4
4277,Serral ,Zerg,Pool First,0,,ByuN ,Terran,,1,,Map: 2000 Atmospheres LE,2021-10-23 08:52:00,0 days 00:21:36,Event: StayAtHome Story Cup #4
4278,DRG ,Zerg,Hatch First,0,,Serral ,Zerg,Hatch First,1,,Map: [TLMC15] Berlingrad,2021-10-23 11:28:00,0 days 00:16:13,Event: StayAtHome Story Cup #4
4279,Serral ,Zerg,"Hatch First, Lurkers",1,,ByuN ,Terran,Banshee Rush,0,,Map: [TLMC15] Curious Minds,2021-10-23 08:28:00,0 days 00:24:58,Event: StayAtHome Story Cup #4
4280,LiquidClem ,Terran,Reaper Expand,0,,Lambo ,Zerg,Hatch First,1,,Map: [TLMC15] Curious Minds,2021-10-23 11:10:00,0 days 00:09:13,Event: StayAtHome Story Cup #4
4281,ByuN ,Terran,,0,,Serral ,Zerg,Pool First,1,,Map: [TLMC15] Glittering Ashes,2021-10-23 09:05:00,0 days 00:11:04,Event: StayAtHome Story Cup #4
4282,Trap ,Protoss,"Blink Stalkers, Zealot Archon",0,,Bunny ,Terran,,1,,Map: 베를린그라드 - 래더,2021-10-22 07:39:00,0 days 00:07:52,Event: StayAtHome Story Cup #4
4283,DPGZest ,Protoss,"1 Gate Expand, Blink Stalkers, Carriers, Colossus Rush",0,,Bunny ,Terran,,1,,Map: 하드와이어 - 래더,2021-10-22 08:45:00,0 days 00:14:38,Event: StayAtHome Story Cup #4
4284,DPGZest ,Protoss,"1 Gate Expand, Blink Stalkers",1,,Bunny ,Terran,,0,,Map: 2000 애트모스피어 - 래더,2021-10-22 08:09:00,0 days 00:07:17,Event: StayAtHome Story Cup #4
4285,Trap ,Protoss,"1 Gate Expand, Blink Stalkers, Zealot Archon",0,,Bunny ,Terran,,1,,Map: 2000 애트모스피어 - 래더,2021-10-22 07:31:00,0 days 00:16:36,Event: StayAtHome Story Cup #4
4286,LiquidClem ,Terran,"Reaper Expand, Hellion Banshee",1,,Lambo ,Zerg,Hatch First,0,,Map: Blackburn LE,2021-10-23 11:41:00,0 days 00:10:10,Event: StayAtHome Story Cup #4
4287,Solar ,Zerg,Pool First,0,,DRG ,Zerg,Pool First,1,,Map: [TLMC15] Berlingrad,2021-10-24 08:38:00,0 days 00:13:31,Event: StayAtHome Story Cup #4
4288,DRG ,Zerg,"Hatch First, Lurkers",1,,LiquidClem ,Terran,"Liberator Opening, Reaper Expand",0,,Map: [TLMC15] Hardwire,2021-10-22 07:31:00,0 days 00:20:24,Event: StayAtHome Story Cup #4
4289,DRG ,Zerg,Hatch First,1,,LiquidClem ,Terran,"Reaper Expand, Hellion Banshee",0,,Map: Blackburn LE,2021-10-22 07:43:00,0 days 00:08:56,Event: StayAtHome Story Cup #4
4290,DRG ,Zerg,Hatch First,1,,Solar ,Zerg,Hatch First,0,,Map: [TLMC15] Hardwire,2021-10-24 08:12:00,0 days 00:09:52,Event: StayAtHome Story Cup #4
4291,DRG ,Zerg,"1 Base Baneling Bust, Pool First",0,,Serral ,Zerg,Hatch First,1,,Map: 2000 Atmospheres LE,2021-10-23 11:35:00,0 days 00:06:12,Event: StayAtHome Story Cup #4
4292,DPGZest ,Protoss,"Blink Stalkers, Colossus Rush",0,,Bunny ,Terran,,1,,Map: 베를린그라드 - 래더,2021-10-22 08:18:00,0 days 00:08:16,Event: StayAtHome Story Cup #4
4293,DPGZest ,Protoss,"1 Gate Expand, Blink Stalkers",1,,Bunny ,Terran,Reaper Expand,0,,Map: 글리터링 애쉬즈 - 래더,2021-10-22 08:29:00,0 days 00:09:31,Event: StayAtHome Story Cup #4
4294,DPGZest ,Protoss,"1 Gate Expand, Oracle Opening, Phoenix Opening, Zealot Archon",1,,Bunny ,Terran,,0,,Map: 큐리어스 마인즈 - 래더,2021-10-22 08:54:00,0 days 00:08:02,Event: StayAtHome Story Cup #4
4295,DRG ,Zerg,Hatch First,0,,Serral ,Zerg,"Hatch First, Roach Hydra",1,,Map: [TLMC15] Pride of Altaris,2021-10-23 11:11:00,0 days 00:11:23,Event: StayAtHome Story Cup #4
4296,Trap ,Protoss,"1 Gate Expand, Oracle Opening, Archon Immortal, Archon Drop",0,,Serral ,Zerg,"Hatch First, Lurkers, Swarm Host",1,,Map: [TLMC15] Glittering Ashes,2021-10-22 09:50:00,0 days 00:23:16,Event: StayAtHome Story Cup #4
4297,Solar ,Zerg,Hatch First,1,,DRG ,Zerg,Hatch First,0,,Map: [TLMC15] Pride of Altaris,2021-10-24 08:23:00,0 days 00:08:53,Event: StayAtHome Story Cup #4
4298,Trap ,Protoss,"1 Gate Expand, Oracle Opening",0,,Serral ,Zerg,"Hatch First, Brood Lord Corruptor",1,,Map: 2000 Atmospheres LE,2021-10-22 08:23:00,0 days 00:15:48,Event: StayAtHome Story Cup #4
4299,DRG ,Zerg,Hatch First,0,,Solar ,Zerg,Hatch First,1,,Map: [TLMC15] Curious Minds,2021-10-24 09:06:00,0 days 00:07:10,Event: StayAtHome Story Cup #4
4300,Solar ,Zerg,Hatch First,1,,DRG ,Zerg,"Hatch First, Lurkers",0,,Map: 2000 Atmospheres LE,2021-10-24 08:56:00,0 days 00:12:40,Event: StayAtHome Story Cup #4
4301,Classic ,Protoss,"1 Gate Expand, Blink Stalkers, Chargelot Immortal",0,,LiquidClem ,Terran,,1,,Map: 2000 Atmospheres LE,2021-10-22 11:08:00,0 days 00:14:47,Event: StayAtHome Story Cup #4
4302,Bunny ,Terran,Reaper Expand,0,,Serral ,Zerg,"Hatch First, Lurkers",1,,Map: Blackburn LE,2021-10-22 11:01:00,0 days 00:19:00,Event: StayAtHome Story Cup #4
4303,Solar ,Zerg,Hatch First,1,,ByuN ,Terran,,0,,Map: 2000 Atmospheres LE,2021-10-24 11:36:00,0 days 00:23:48,Event: StayAtHome Story Cup #4
4304,DRG ,Zerg,Hatch First,1,,Classic ,Protoss,"1 Gate Expand, Oracle Opening",0,,Map: [TLMC15] Curious Minds,2021-10-22 08:44:00,0 days 00:08:26,Event: StayAtHome Story Cup #4
4305,Classic ,Protoss,"1 Gate Expand, Oracle Opening",1,,LiquidClem ,Terran,,0,,Map: [TLMC15] Curious Minds,2021-10-22 11:22:00,0 days 00:10:56,Event: StayAtHome Story Cup #4
4306,Trap ,Protoss,"1 Gate Expand, Mass Adepts",1,,Serral ,Zerg,Hatch First,0,,Map: [TLMC15] Hardwire,2021-10-22 09:26:00,0 days 00:08:25,Event: StayAtHome Story Cup #4
4307,Trap ,Protoss,,1,,Serral ,Zerg,Pool First,0,,Map: [TLMC15] Berlingrad,2021-10-22 09:17:00,0 days 00:18:43,Event: StayAtHome Story Cup #4
4308,Trap ,Protoss,"1 Gate Expand, Oracle Opening",0,,Serral ,Zerg,"Hatch First, Brood Lord Corruptor",1,,Map: Blackburn LE,2021-10-22 08:56:00,0 days 00:32:02,Event: StayAtHome Story Cup #4
4309,LiquidClem ,Terran,"Reaper Expand, Hellion Banshee",1,,Serral ,Zerg,Hatch First,0,,Map: [TLMC15] Glittering Ashes,2021-10-24 13:20:00,0 days 00:20:27,Event: StayAtHome Story Cup #4
4310,DRG ,Zerg,Hatch First,0,,Classic ,Protoss,"1 Gate Expand, Oracle Opening",1,,Map: [TLMC15] Pride of Altaris,2021-10-22 09:00:00,0 days 00:12:10,Event: StayAtHome Story Cup #4
4311,Solar ,Zerg,Hatch First,0,,ByuN ,Terran,Hellion Opening,1,,Map: Blackburn LE,2021-10-24 10:59:00,0 days 00:20:27,Event: StayAtHome Story Cup #4
4312,Bunny ,Terran,Reaper Expand,1,,Serral ,Zerg,Hatch First,0,,Map: 2000 Atmospheres LE,2021-10-22 10:11:00,0 days 00:09:28,Event: StayAtHome Story Cup #4
4313,DRG ,Zerg,Hatch First,1,,Classic ,Protoss,"1 Gate Expand, Oracle Opening",0,,Map: [TLMC15] Glittering Ashes,2021-10-22 09:24:00,0 days 00:08:25,Event: StayAtHome Story Cup #4
4314,Bunny ,Terran,Reaper Expand,0,,Serral ,Zerg,"Hatch First, Lurkers",1,,Map: [TLMC15] Hardwire,2021-10-22 10:41:00,0 days 00:17:28,Event: StayAtHome Story Cup #4
4315,Classic ,Protoss,"1 Gate Expand, Phoenix Opening",0,,LiquidClem ,Terran,1/1/1,1,,Map: Blackburn LE,2021-10-22 11:33:00,0 days 00:08:57,Event: StayAtHome Story Cup #4
4316,Solar ,Zerg,Hatch First,0,,ByuN ,Terran,Hellion Opening,1,,Map: Blackburn LE,2021-10-24 10:37:00,0 days 00:05:29,Event: StayAtHome Story Cup #4
4317,Classic ,Protoss,"1 Gate Expand, Oracle Opening",1,,DPGRogue ,Zerg,Hatch First,0,,Map: 2000 Atmospheres LE,2021-10-22 08:12:00,0 days 00:08:12,Event: StayAtHome Story Cup #4
4318,Solar ,Zerg,Hatch First,0,,Serral ,Zerg,Hatch First,1,,Map: [TLMC15] Glittering Ashes,2021-10-24 14:57:00,0 days 00:10:27,Event: StayAtHome Story Cup #4
4319,LiquidClem ,Terran,,1,,Classic ,Protoss,"1 Gate Expand, Oracle Opening, Phoenix Opening",0,,Map: [TLMC15] Berlingrad,2021-10-22 11:49:00,0 days 00:12:24,Event: StayAtHome Story Cup #4
4320,Solar ,Zerg,Hatch First,1,,ByuN ,Terran,Hellion Opening,0,,Map: Blackburn LE,2021-10-24 11:11:00,0 days 00:24:34,Event: StayAtHome Story Cup #4
4321,DRG ,Zerg,Hatch First,1,,Classic ,Protoss,"1 Gate Expand, Oracle Opening",0,,Map: 2000 Atmospheres LE,2021-10-22 09:13:00,0 days 00:10:45,Event: StayAtHome Story Cup #4
4322,Bunny ,Terran,"Reaper Expand, Hellion Banshee",0,,Serral ,Zerg,Hatch First,1,,Map: [TLMC15] Curious Minds,2021-10-22 10:22:00,0 days 00:10:40,Event: StayAtHome Story Cup #4
4323,Serral ,Zerg,Hatch First,1,,Solar ,Zerg,Pool First,0,,Map: [TLMC15] Curious Minds,2021-10-24 14:44:00,0 days 00:09:28,Event: StayAtHome Story Cup #4
4324,Serral ,Zerg,Hatch First,0,,Solar ,Zerg,Pool Only,1,,Map: [TLMC15] Berlingrad,2021-10-24 14:20:00,0 days 00:04:42,Event: StayAtHome Story Cup #4
4325,Serral ,Zerg,"Hatch First, Lurkers",1,,Solar ,Zerg,"Hatch First, Lurkers",0,,Map: [TLMC15] Hardwire,2021-10-24 14:13:00,0 days 00:15:05,Event: StayAtHome Story Cup #4
4326,Serral ,Zerg,Pool First,0,,Solar ,Zerg,Hatch First,1,,Map: Blackburn LE,2021-10-24 14:33:00,0 days 00:11:31,Event: StayAtHome Story Cup #4
4327,Solar ,Zerg,"Hatch First, Lurkers",1,,ByuN ,Terran,"Hellion Opening, Reaper Expand",0,,Map: [TLMC15] Glittering Ashes,2021-10-24 11:55:00,0 days 00:16:38,Event: StayAtHome Story Cup #4
4328,DPGRogue ,Zerg,Hatch First,0,,Classic ,Protoss,"1 Gate Expand, Oracle Opening",1,,Map: [TLMC15] Pride of Altaris,2021-10-22 08:24:00,0 days 00:08:48,Event: StayAtHome Story Cup #4
4329,DPGZest ,Protoss,"1 Gate Expand, Oracle Opening, Zealot Archon",1,,Serral ,Zerg,Hatch First,0,,Map: 2000 Atmospheres LE,2021-10-22 07:10:00,0 days 00:07:31,Event: StayAtHome Story Cup #4
4330,Serral ,Zerg,Hatch First,0,,LiquidClem ,Terran,,1,,Map: [TLMC15] Hardwire,2021-10-24 12:44:00,0 days 00:12:15,Event: StayAtHome Story Cup #4
4331,DPGZest ,Protoss,1 Gate Expand,1,,Serral ,Zerg,Hatch First,0,,Map: [TLMC15] Curious Minds,2021-10-22 07:52:00,0 days 00:08:48,Event: StayAtHome Story Cup #4
4332,DPGZest ,Protoss,"1 Gate Expand, Oracle Opening, Carriers",0,,Serral ,Zerg,"Hatch First, Brood Lord Corruptor",1,,Map: [TLMC15] Berlingrad,2021-10-22 07:42:00,0 days 00:30:44,Event: StayAtHome Story Cup #4
4333,SpeCial ,Terran,,1,,Ryu ,Zerg,Hatch First,0,,Map: Romanticide LE,2021-09-29 15:18:00,0 days 00:06:24,Event: DreamHack SC2 Masters 2021 Winter
4334,Ryu ,Zerg,Hatch First,0,,SpeCial ,Terran,"Gas First Reaper Expand, Banshee Rush",1,,Map: Blackburn LE,2021-09-29 15:10:00,0 days 00:09:06,Event: DreamHack SC2 Masters 2021 Winter
4335,Ryu ,Zerg,Hatch First,1,,JimRising ,Protoss,Carriers,0,,Map: Jagannatha LE,2021-09-30 16:05:00,0 days 00:17:23,Event: DreamHack SC2 Masters 2021 Winter
4336,JimRising ,Zerg,"Hatch First, Roach Nydus",0,,Ryu ,Zerg,"Hatch First, Lurkers",1,,Map: Blackburn LE,2021-09-30 16:21:00,0 days 00:13:54,Event: DreamHack SC2 Masters 2021 Winter
4337,JimRising ,Zerg,Hatch First,1,,TerraN ,Terran,"Reaper Expand, Hellion Banshee",0,,Map: Blackburn LE,2021-09-29 15:28:00,0 days 00:12:20,Event: DreamHack SC2 Masters 2021 Winter
